21,10
1,8,1,-1,0,10,17
2,8,2,-1,0,10,18
3,8,3,-1,0,10,19
4,8,4,-1,0,10,20
5,8,5,-1,0,10,13
6,8,6,-1,0,10,14
7,8,7,-1,0,10,15
8,8,8,-1,0,10,16
9,8,9,-1,0,10,17
10,8,10,-1,0,10,18
11,8,11,-1,0,10,19
12,8,12,-1,0,10,20
13,8,13,-1,0,10,13
14,8,14,-1,0,10,14
15,8,15,-1,0,10,15
16,8,16,-1,0,10,16
17,8,17,-1,0,10,17
18,8,18,-1,0,10,18
19,8,19,-1,0,10,19
20,8,20,-1,0,10,20
21,8,21,-1,3,0,0
22,8,22,-1,3,0,0
23,8,23,-1,3,0,0
24,8,24,-1,3,0,0
25,8,25,-1,3,0,0
26,8,26,-1,3,0,0
27,8,27,-1,3,0,0
28,8,28,-1,3,0,0
29,8,29,-1,3,0,0
30,8,30,-1,3,0,0
31,8,31,-1,3,0,0
32,8,32,-1,3,0,0
33,8,33,-1,3,0,0
34,8,34,-1,3,0,0
35,8,35,-1,3,0,0
36,8,36,-1,3,0,0
37,8,37,-1,3,0,0
38,8,38,-1,3,0,0
39,8,39,-1,3,0,0
40,8,40,-1,3,0,0
